reading score,writing score,math score,lunch,test preparation course,parental level of education
72,74,72,0,0,4
90,88,69,0,1,2
95,93,90,0,0,5
57,44,47,1,0,3
78,75,76,0,0,2
83,78,71,0,0,3
95,92,88,0,1,2
43,39,40,1,0,2
64,67,64,1,1,1
60,50,38,1,0,1
54,52,58,0,0,3
52,43,40,0,0,3
81,73,65,0,0,1
72,70,78,0,1,2
53,58,50,0,0,5
75,78,69,0,0,0
89,86,88,0,0,1
32,28,18,1,0,0
42,46,46,1,1,5
58,61,54,1,0,3
69,63,66,0,0,1
75,70,65,1,1,2
54,53,44,0,0,2
73,73,69,0,0,0
71,80,74,1,1,4
74,72,73,1,0,5
54,55,69,0,0,2
69,75,67,0,0,4
70,65,70,0,0,1
70,75,62,0,0,5
74,74,69,0,0,2
65,61,63,0,0,2
72,65,56,1,0,5
42,38,40,0,0,2
87,82,97,0,0,2
81,79,81,0,1,3
81,83,74,0,0,3
64,59,50,1,0,0
90,88,75,1,1,3
56,57,57,1,0,3
61,54,55,1,0,3
73,68,58,0,0,3
58,65,53,0,0,3
65,66,59,1,1,2
56,54,50,1,0,3
54,57,65,0,0,3
65,62,55,0,1,3
71,76,66,0,0,1
74,76,57,1,1,3
84,82,82,0,1,1
55,48,53,0,0,2
69,68,77,1,1,3
44,42,53,0,0,2
78,75,88,0,0,1
84,87,71,1,1,0
41,43,33,1,0,1
85,86,82,0,1,3
55,49,52,0,0,3
59,58,58,0,1,2
17,10,0,1,0,0
74,72,79,1,1,4
39,34,39,1,0,0
61,55,62,1,0,3
80,71,69,0,0,3
58,59,59,0,0,0
64,61,67,0,0,0
37,37,45,1,0,0
72,74,60,0,0,2
58,56,61,1,0,3
64,57,39,0,0,3
63,73,58,1,1,2
55,63,63,0,1,2
51,48,41,1,0,3
57,56,61,1,0,0
49,41,49,0,0,0
41,38,44,1,0,3
26,22,30,0,0,0
78,81,80,0,1,4
74,72,61,0,1,0
68,68,62,0,0,5
49,50,47,0,0,3
45,45,49,1,0,1
47,54,50,1,1,2
64,63,72,0,0,3
39,34,42,1,0,1
80,82,73,0,0,2
83,88,76,1,0,2
71,74,71,0,0,3
70,67,58,0,0,2
86,82,73,0,0,0
72,74,65,0,0,4
34,36,27,1,0,1
79,71,71,0,0,1
45,50,43,1,1,3
86,92,79,0,0,2
81,82,78,1,1,3
66,62,65,0,1,0
72,70,63,0,1,2
67,62,58,1,0,2
67,62,65,0,0,4
67,67,79,0,0,2
74,74,68,0,1,4
91,89,85,0,0,3
44,47,60,0,1,1
86,90,98,0,1,2
67,72,58,0,0,2
100,100,87,0,0,5
63,64,66,0,1,3
76,70,52,1,0,3
64,72,70,0,0,0
89,98,77,1,1,3
55,49,62,0,0,1
53,47,54,0,0,3
58,54,51,0,0,2
100,100,99,0,1,4
77,74,84,0,0,1
85,82,75,1,0,4
82,79,78,0,0,4
63,61,51,0,0,0
69,65,55,0,0,2
92,89,79,0,1,4
89,92,91,0,1,3
93,93,88,0,1,2
57,56,63,1,0,1
80,73,83,0,0,2
95,86,87,0,0,1
68,67,72,0,0,0
77,74,65,0,1,2
82,74,82,0,0,5
49,51,51,0,0,4
84,82,89,0,0,5
37,40,53,1,1,0
74,70,87,1,1,2
81,84,75,0,1,2
79,75,74,1,1,4
55,48,58,0,0,4
54,41,51,0,1,0
55,56,70,0,0,1
66,67,59,0,0,3
61,69,71,0,1,2
72,71,76,0,0,0
62,64,59,1,0,2
55,54,42,1,1,2
43,47,57,0,0,1
73,78,88,0,0,2
39,33,22,1,0,2
84,75,88,0,0,0
68,66,73,1,0,3
75,81,68,0,1,4
100,93,100,1,1,3
67,69,62,0,1,0
67,68,77,0,0,4
70,66,59,0,1,3
49,47,54,0,0,4
67,61,62,0,0,0
89,88,70,0,1,2
74,78,66,1,1,1
60,60,60,1,0,2
86,87,61,0,1,3
62,64,66,1,0,3
78,74,82,1,1,3
